@lat	@lon	addr:postcode	name	amenity
38.5704541	-121.4839211		Dreamland Cinema	cinema
37.4048970	-122.1097747		Alamo Drafthouse Cinema	cinema
38.5615231	-121.4933284		Tower Cinema	cinema
34.4296030	-119.8729130	93117	Camino Real Cinemas	cinema
37.3253150	-121.9475738	95050	Alamo Drafthouse Cinema Valley Fair	cinema
34.1465685	-118.1515106	91103	IPIC Theaters	cinema
33.8307637	-118.0868601		Edwards Long Beach Stadium 26 & IMAX	cinema
33.8518218	-118.1359240		Starlight Cinemas	cinema
37.1135533	-121.6376078	95037	CineLux Tennant Station Stadium 11	cinema
36.9977800	-121.5660507	95020	CineLux Theatres Gilroy	cinema
37.3323628	-121.8858618	95113	3 Below Theaters and Lounge	cinema
36.8497392	-121.3963910		Premiere Cinemas	cinema
37.9818601	-122.3198144		Century Hilltop 16	cinema
37.3892796	-121.9828775		AMC Mercado 20	cinema
37.9761961	-122.0362477	94520	Brenden Theatres	cinema
32.9813513	-117.0819121	92128	Angelika Film Center & Cafe	cinema
32.5788455	-117.0367684	92154	AMC Palm Promenade 24	cinema
32.8423882	-117.2740397	92037	The Lot	cinema
32.9152173	-117.1176107	92126	Edwards Mira Mesa Stadium 18 & IMAX	cinema
32.5300896	-117.0238672		Cine OMNIMAX	cinema
38.5466674	-121.7393973	95616	Davis Stadium 5	cinema
32.7390945	-117.2154666	92106	The Lot	cinema
34.4389933	-119.7070506	93103	SBIFF Riviera Theatre	cinema
36.9165030	-121.7860939		Green Valley Cinema 8	cinema
34.2065443	-118.2169934		UA La Canada 8	cinema
37.7960425	-122.2773783		Regal Cinemas 9 Jack London Square	cinema
39.5028353	-119.7978753	89502	Century Parklane 16	cinema
39.4031948	-119.7480805	89511	Century Theatres	cinema
34.0756077	-117.5488623		Regal Ontario Palace Stadium 22 & IMAX	cinema
34.0745556	-117.5525833		AMC DINE-IN Ontario Mills 30	cinema
34.2171021	-119.0632599	93010	Regal Edwards Camarillo Palace	cinema
33.5765491	-117.7270185	92656	Edwards Aliso Viejo Stadium 20 & IMAX	cinema
38.5430770	-121.7403269	95616	Varsity Theatre	cinema
35.2818693	-120.6605258	93401	Fremont Theatre	cinema
34.0582730	-117.1853062	92373	LOOK Dine-in Cinema	cinema
33.8225623	-117.5158625		Edwards Stadium 18 Theatre	cinema
38.7568348	-121.2564306		United Artists Olympus Pointe 12	cinema
37.7028610	-121.8855487	94568	Regal Hacienda Crossings	cinema
34.4242931	-119.7068670	93101	Arlington Theatre	cinema
33.5250304	-117.1521033		Edwards Temecula Stadium 15 & IMAX	cinema
32.7786105	-117.0109007	91942	Reading Cinema	cinema
38.1396815	-122.2346464			cinema
38.1311163	-122.2187567	94591	Century 14 Vallejo	cinema
35.3775561	-119.0215878	93301	Majestic Fox Theater	cinema
35.3423642	-119.1039263		Edwards Cinema	cinema
35.3692623	-119.0483099	93309	AMC Bakersfield 6	cinema
35.3850439	-119.1120531		Studio Movie Grill	cinema
36.6053324	-119.3960605			cinema
36.8493518	-119.7874841		Regal Cinemas	cinema
36.7820015	-119.7862623			cinema
36.7820015	-119.7862623	93726	Regal Cinemas	cinema
36.7580093	-119.8015223	93728	Tower Theatre	cinema
36.7573791	-119.7992923			cinema
36.7351688	-119.7928105			cinema
36.7292569	-119.7930877			cinema
33.6534381	-117.2956372	92530	Diamond Cinemas 8	cinema
40.9337562	-124.1040402	95519	Mill Creek Cinema	cinema
33.2001842	-117.2441385	92083	Cinépolis Vista	cinema
33.1784940	-117.3290342	92008	Regal Cinemas Carlsbad 12	cinema
34.1497940	-118.3386520		Steven J. Ross Theater	cinema
38.7971545	-121.2939001		Blue Oaks Century Theatres	cinema
37.8115565	-122.2473442		Grand Lake Theatre	cinema
37.8273368	-122.2507969		Piedmont Theatre	cinema
33.1214971	-117.0871305	92025	Regal Escondido Stadium 16	cinema
37.7023116	-122.4702839	94014	Century 20 Daly City	cinema
33.9946779	-117.9263459		AMC Puente Hills 20	cinema
34.1097575	-117.5717207		Terra Vista 6 Cinemas	cinema
36.3264764	-119.6444682		Metro 4 Cinema	cinema
33.5636802	-117.2022492		Reading Cinemas	cinema
33.9758086	-117.5515717		Edwards Stadium 14 Theatres	cinema
38.0949906	-122.5566739		Century Theaters Rowland Plaza	cinema
38.3531580	-121.9846016	95688		cinema
37.8566644	-122.2533063		Elmwood Theatre	cinema
32.7373928	-116.9393871	92019	Regal Edwards Rancho San Diego	cinema
33.9189470	-117.8997965	92821	Brea Edwards Cinema	cinema
35.2588082	-120.6723609		Sunset Drive-in	cinema
37.9866478	-122.5876036		Fairfax 5 Theaters	cinema
37.6994028	-122.1232427		Century Theatres	cinema
33.7328395	-117.9932114	92647	Century Huntington Beach and XD	cinema
33.8080132	-117.9181302		Mickey’s PhilharMagic	cinema
33.8114219	-117.9172928		Magic Eye Theater	cinema
34.2394934	-119.1753282		Century RiverPark 16	cinema
34.0115427	-118.3374067	90008	Cinemark Baldwin Hills Crenshaw and XD	cinema
33.8743574	-117.9239842	92832	Fox Theatre	cinema
37.9737128	-120.3663269		Regal Sonora Stadium 10	cinema
39.4409272	-123.8048483		Coast Cinemas	cinema
37.8964560	-122.0618652		Century 16 Theater	cinema
37.4449619	-122.1637110		Aquarius Theatre	cinema
37.4453599	-122.1628822	94301	Stanford Theater	cinema
33.6518049	-117.7449034	92618	Regal Edwards Irvine Spectrum	cinema
38.7500597	-121.2480431	95661	Former Century Roseville	cinema
33.9559777	-117.3900513		Regal Riverside Plaza	cinema
33.5035030	-117.1516841		UltraStar Cinemas	cinema
33.6965766	-117.8290934	92782	AMC	cinema
34.1170749	-117.8363043		AMC Glendora 12	cinema
37.8139543	-122.2674782	94612	New Parkway Theater	cinema
37.4146530	-122.0808655	94043	Century 16	cinema
32.5311502	-117.1134052		Cinepolis	cinema
